                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4571,                 4.8964,                 1.1656,                0.00333,                0.03922,                0.00175,                0.00102,                 2.1094,                 3.9823,                 0.9924,                  8e-05,                  8e-05,                  8e-05
                      1,                 2.1108,                 3.9551,                 1.0315,                0.01033,                0.12157,                0.00613,                0.00235,                 2.3749,                 3.8464,                0.94384,             0.00017822,             0.00017822,             0.00017822
                      2,                 2.1278,                 2.8918,                0.96373,                0.01633,                0.19216,                0.01079,                0.00432,                 2.2191,                  3.566,                0.92207,             0.00027446,             0.00027446,             0.00027446
                      3,                 2.0672,                 2.3024,                 0.9717,                0.01567,                0.18431,                0.01077,                0.00419,                 2.1385,                 3.5293,                0.90116,             0.00036871,             0.00036871,             0.00036871
                      4,                 2.0895,                 2.2751,                0.92214,                0.01167,                0.13725,                0.00675,                0.00296,                 2.2782,                 3.5368,                0.90239,             0.00046099,             0.00046099,             0.00046099
                      5,                 2.0768,                 2.1354,                0.93465,                  0.012,                0.14118,                0.00731,                0.00351,                 2.0831,                 3.4499,                0.89473,             0.00055129,             0.00055129,             0.00055129
                      6,                  2.067,                 1.9615,                0.91734,                0.01667,                0.19608,                0.01145,                0.00524,                 2.0861,                 3.3296,                 0.9017,             0.00063961,             0.00063961,             0.00063961
                      7,                 2.0286,                 1.9145,                0.92338,                  0.018,                0.21176,                0.01196,                0.00529,                 2.1698,                 3.3467,                 0.9132,             0.00072595,             0.00072595,             0.00072595
                      8,                 2.0251,                 1.9412,                 0.9071,                  0.027,                0.31765,                0.02275,                0.00962,                 2.1608,                 3.2254,                0.91875,              0.0008103,              0.0008103,              0.0008103
                      9,                 1.9886,                 1.7699,                0.92677,                0.03367,                0.39608,                0.09131,                0.04333,                 2.1041,                 3.0235,                0.93064,             0.00089268,             0.00089268,             0.00089268
                     10,                 2.0147,                 1.7867,                0.91029,                  0.035,                0.41176,                0.05131,                0.02298,                 2.1683,                 2.9959,                0.94343,             0.00097308,             0.00097308,             0.00097308
                     11,                 2.0798,                 1.7405,                0.92241,                  0.036,                0.42353,                 0.1303,                0.06615,                 2.1727,                 2.8707,                0.92427,              0.0010515,              0.0010515,              0.0010515
                     12,                   1.94,                 1.6287,                0.91727,                0.03567,                0.41961,                0.15824,                0.07608,                  2.107,                 2.7796,                0.91707,              0.0011279,              0.0011279,              0.0011279
                     13,                  2.027,                 1.6486,                 0.9421,                0.36335,                0.23137,                0.19138,                0.08639,                 2.0916,                 2.7416,                0.90528,              0.0012024,              0.0012024,              0.0012024
                     14,                 1.9659,                 1.6065,                0.93509,                0.61174,                0.16078,                0.24606,                0.10139,                 2.1541,                 2.6505,                 0.9192,              0.0012749,              0.0012749,              0.0012749
                     15,                 1.9868,                 1.6265,                0.90952,                0.56708,                0.20548,                0.23708,                0.10436,                 2.1514,                 2.6098,                0.92293,              0.0013454,              0.0013454,              0.0013454
                     16,                 2.0327,                 1.6273,                0.91312,                0.65911,                0.18957,                0.26681,                0.11021,                 2.1578,                 2.5324,                0.92361,              0.0014139,              0.0014139,              0.0014139
                     17,                 2.0304,                 1.6061,                0.90729,                0.72376,                0.11303,                0.29251,                 0.1194,                 2.1362,                 2.3714,                0.93825,              0.0014804,              0.0014804,              0.0014804
                     18,                 1.9975,                 1.5852,                0.91471,                0.78425,                0.18533,                0.34614,                0.13872,                 2.0599,                  2.174,                0.92753,               0.001545,               0.001545,               0.001545
                     19,                 2.0361,                 1.5275,                0.89251,                0.59131,                0.18824,                0.29768,                0.12051,                 2.0703,                  2.228,                0.91101,              0.0016076,              0.0016076,              0.0016076
                     20,                 2.0361,                 1.5778,                0.92791,                0.65241,                0.23554,                0.33829,                0.14074,                  2.073,                  2.064,                 0.9145,               0.001604,               0.001604,               0.001604
                     21,                 1.9786,                 1.5307,                0.92854,                0.74126,                0.30588,                0.40729,                0.16337,                 2.0247,                 1.8482,                 0.9184,               0.001604,               0.001604,               0.001604
                     22,                 1.9366,                 1.5272,                0.91351,                0.70849,                0.29412,                0.40258,                0.15853,                 2.0615,                 1.8522,                0.93025,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.9765,                 1.5371,                0.93563,                0.71814,                0.33725,                0.39045,                0.14859,                 2.1434,                 1.8797,                0.94543,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.0078,                 1.5117,                  0.939,                0.66768,                0.33093,                0.36725,                0.14676,                 2.1211,                 1.9006,                 0.9262,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.1224,                 1.5403,                0.91025,                0.63659,                 0.3451,                0.35809,                0.13891,                 2.0572,                 1.8848,                0.91665,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.9905,                 1.4673,                 0.9251,                0.62953,                0.36863,                0.35917,                0.13858,                 2.0684,                 1.8247,                0.91763,               0.001505,               0.001505,               0.001505
                     27,                  1.941,                 1.4644,                0.90424,                0.62377,                0.36471,                0.38563,                0.15862,                 2.0682,                 1.7426,                0.92481,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.8538,                 1.3791,                0.90941,                0.61062,                0.36078,                0.35201,                0.13813,                 2.0842,                 1.8837,                 0.9332,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.8034,                 1.3671,                0.91091,                0.63355,                0.32157,                0.34579,                0.13116,                 2.1189,                 1.9362,                0.93756,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.8384,                 1.4399,                0.91863,                0.63117,                0.35686,                0.35622,                0.14264,                 2.0753,                 1.8054,                0.92724,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.9219,                 1.3997,                0.92115,                0.64739,                    0.4,                0.38886,                0.13973,                 2.1987,                 1.6902,                0.92878,               0.001406,               0.001406,               0.001406
                     32,                 1.8946,                 1.3509,                0.92684,                0.52182,                0.34902,                0.28807,                 0.1001,                   2.32,                 1.7976,                0.92921,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.8959,                 1.3807,                0.91526,                0.57496,                0.36471,                0.34368,                0.13111,                 2.2617,                 1.6946,                0.92612,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.9321,                 1.4081,                0.91771,                0.57727,                0.38557,                0.38368,                0.16041,                 2.0903,                 1.6126,                0.92333,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.8968,                 1.3298,                0.89659,                0.59786,                0.40392,                0.39627,                0.17012,                 2.1008,                 1.5502,                0.92089,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.9378,                 1.3625,                0.90462,                0.56904,                0.38836,                0.38799,                0.16537,                 2.1238,                  1.545,                0.91839,               0.001307,               0.001307,               0.001307
                     37,                 1.8948,                 1.2923,                0.88974,                0.60227,                    0.4,                0.38523,                0.16456,                 2.0797,                 1.5542,                0.91745,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.8528,                 1.2805,                0.87878,                0.64018,                    0.4,                0.38422,                0.17034,                  2.046,                 1.5265,                0.92566,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.9072,                 1.3336,                0.88705,                0.63564,                0.41569,                0.38713,                0.17257,                 2.0338,                 1.5015,                0.94048,              0.0012476,              0.0012476,              0.0012476
                     40,                  1.922,                 1.3251,                 0.8852,                0.64123,                0.40392,                0.38807,                0.16642,                 2.0632,                 1.5166,                0.93092,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.892,                 1.2762,                0.89875,                0.63965,                0.40784,                0.40145,                0.16386,                 2.1215,                 1.5033,                0.93841,               0.001208,               0.001208,               0.001208
                     42,                 1.8407,                 1.2388,                0.88973,                0.65512,                0.41717,                0.41169,                0.16334,                 2.1305,                 1.4903,                 0.9419,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.8519,                 1.2753,                0.89876,                0.63643,                0.42353,                0.41475,                0.17697,                 2.0654,                  1.415,                0.94172,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.7846,                 1.1958,                0.88329,                0.64251,                0.42289,                0.41148,                0.17536,                 2.1461,                 1.4163,                0.96188,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.7631,                 1.2167,                0.88313,                0.61494,                0.40392,                0.39043,                0.17457,                 2.1371,                 1.4292,                0.95872,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.8152,                 1.2835,                0.90416,                0.62629,                0.42745,                 0.4053,                0.17298,                 2.1532,                 1.4635,                0.96304,               0.001109,               0.001109,               0.001109
                     47,                 1.9039,                 1.3061,                0.89229,                0.57861,                0.40784,                0.37406,                 0.1507,                 2.1782,                 1.4579,                0.94553,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.7707,                 1.2146,                0.87653,                0.60297,                0.39608,                0.37804,                0.14317,                 2.1876,                 1.4649,                0.93864,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.755,                 1.1911,                0.86763,                0.60754,                0.36863,                 0.3612,                0.13308,                 2.2028,                 1.5457,                0.93208,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.8527,                 1.2113,                0.89087,                0.61142,                0.40108,                0.38572,                0.14682,                 2.1623,                 1.5236,                0.92464,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.8292,                 1.2365,                0.89734,                0.58549,                0.41961,                0.41755,                0.18076,                 2.0444,                 1.4405,                0.92122,                0.00101,                0.00101,                0.00101
                     52,                 1.8073,                  1.233,                0.91084,                0.57641,                0.43922,                0.43038,                0.17773,                 2.0607,                 1.4472,                0.92378,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.7984,                 1.1916,                0.88629,                0.59408,                0.41569,                0.41627,                0.17464,                 2.0434,                  1.438,                0.91728,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.7268,                 1.1863,                0.89243,                0.65951,                0.41176,                0.43004,                0.17094,                  2.042,                 1.4298,                0.91183,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.8256,                 1.1955,                 0.8844,                0.64293,                0.43073,                0.42852,                0.17227,                 2.0998,                 1.4341,                0.91494,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.8163,                 1.1846,                 0.8907,                0.67239,                 0.4549,                0.45228,                0.18758,                  2.053,                 1.4205,                0.91933,               0.000911,               0.000911,               0.000911
                     57,                 1.8023,                 1.1995,                0.89415,                0.65213,                0.46315,                0.46174,                0.19812,                 1.9978,                 1.4121,                0.91323,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.7761,                 1.1709,                0.88528,                0.65844,                 0.4549,                0.44909,                0.18941,                 2.0118,                 1.3985,                0.91778,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.8092,                  1.244,                0.89679,                0.65229,                0.43137,                0.41485,                  0.168,                 2.0702,                 1.4889,                0.92806,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.7493,                 1.1831,                 0.8711,                0.61495,                0.40392,                0.39851,                 0.1662,                 2.1184,                 1.4841,                0.93486,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.6315,                 1.1062,                0.88135,                0.61994,                0.43137,                0.41619,                0.16928,                 2.1068,                  1.429,                0.92891,               0.000812,               0.000812,               0.000812
                     62,                 1.6774,                 1.1464,                0.86933,                   0.61,                0.45098,                0.43015,                 0.1799,                 2.0694,                 1.3899,                 0.9299,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.6428,                 1.1113,                0.88384,                0.61201,                0.46275,                0.44088,                0.18014,                 2.0642,                 1.3841,                0.93131,              0.0007724,              0.0007724,              0.0007724
                     64,                  1.678,                 1.1361,                0.85816,                0.58926,                0.43884,                0.41061,                0.16657,                 2.1218,                 1.3834,                 0.9338,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.6993,                 1.1095,                0.87648,                0.57124,                0.43529,                0.40453,                0.16123,                 2.1934,                 1.3956,                0.94716,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.7056,                 1.1514,                0.85456,                0.56929,                0.41569,                0.39744,                0.16184,                 2.1727,                 1.4044,                0.94503,               0.000713,               0.000713,               0.000713
                     67,                 1.6874,                 1.1329,                0.87175,                0.60583,                   0.44,                0.42372,                0.18056,                 2.0375,                 1.3282,                0.92771,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.6394,                  1.101,                0.87655,                0.61585,                 0.4549,                0.42676,                0.18381,                 2.0131,                 1.3254,                0.92155,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.7393,                 1.1349,                0.88447,                0.61705,                 0.4549,                0.44236,                0.18741,                 2.0239,                 1.3362,                 0.9211,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.6679,                 1.1193,                 0.8787,                0.62334,                0.47059,                0.44782,                0.18659,                 2.0328,                 1.3349,                0.92232,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.6876,                 1.0912,                0.86986,                0.64869,                0.47451,                0.45491,                0.19663,                 1.9926,                 1.3315,                 0.9202,               0.000614,               0.000614,               0.000614
                     72,                 1.6777,                 1.1182,                0.87044,                0.63913,                0.47228,                0.44255,                0.20283,                 1.9462,                 1.3177,                0.91517,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.6515,                 1.1056,                0.87762,                0.63782,                0.45098,                0.43686,                0.20027,                 1.9176,                 1.3265,                 0.9094,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.6735,                 1.0796,                0.86149,                0.62978,                0.43529,                0.43619,                0.19562,                  1.926,                 1.3642,                0.90573,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.5588,                 1.0376,                0.86279,                0.60283,                0.42857,                0.40433,                0.18197,                 1.9851,                 1.3991,                0.91291,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.5737,                 1.0248,                0.84757,                0.58245,                0.43215,                0.40682,                0.18485,                 1.9698,                  1.374,                0.91423,               0.000515,               0.000515,               0.000515
                     77,                 1.5789,                0.99939,                0.84312,                0.61156,                0.44314,                 0.4221,                0.18985,                 1.9709,                  1.355,                0.91464,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.6274,                 1.0988,                0.86936,                0.65974,                0.44706,                0.44268,                0.19124,                 1.9885,                  1.351,                0.91723,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.5731,                 1.0409,                0.86613,                0.67602,                0.44706,                0.44869,                 0.1955,                 1.9777,                 1.3287,                0.91728,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.5913,                 1.0994,                0.87349,                0.67469,                0.45547,                0.45283,                0.19399,                 1.9594,                 1.3298,                0.91577,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.6469,                 1.0441,                0.87484,                0.64897,                 0.4549,                0.45364,                0.19472,                 1.9566,                 1.3267,                0.91631,               0.000416,               0.000416,               0.000416
                     82,                 1.5568,                 1.0458,                 0.8446,                0.63282,                0.45882,                0.45035,                0.19676,                 1.9529,                 1.3084,                0.91715,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.5909,                 1.0659,                0.85804,                 0.6247,                0.47059,                0.45063,                0.19824,                 1.9398,                 1.2817,                0.90904,              0.0003764,              0.0003764,              0.0003764
                     84,                  1.604,                 1.0272,                0.86072,                0.63141,                0.46275,                0.44192,                0.20035,                 1.9549,                 1.2957,                0.91061,              0.0003566,              0.0003566,              0.0003566
                     85,                  1.562,                 1.0156,                 0.8823,                0.62518,                0.45882,                0.44094,                0.19538,                 1.9722,                 1.3054,                0.91468,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.6361,                 1.0076,                0.86255,                0.65062,                0.44314,                0.43642,                0.18925,                 1.9802,                 1.3161,                0.91143,               0.000317,               0.000317,               0.000317
                     87,                 1.6651,                 1.0033,                  0.845,                0.63074,                0.45098,                0.43626,                0.18279,                 2.0389,                 1.3237,                0.92387,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.6468,                 1.0888,                0.86791,                0.62293,                0.45882,                0.44264,                 0.1835,                 2.0557,                 1.3222,                0.93113,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.5793,                 1.0123,                0.86378,                0.62765,                0.46275,                0.44957,                0.18763,                 2.0515,                 1.3174,                0.93124,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.5796,                 1.0421,                0.86972,                0.62703,                0.47451,                0.45137,                0.19261,                 2.0376,                 1.3123,                0.92889,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.5535,                  1.053,                0.86515,                0.61971,                0.46667,                 0.4435,                0.20012,                 2.0045,                 1.2966,                0.92288,               0.000218,               0.000218,               0.000218
                     92,                 1.5297,                 1.0105,                0.84359,                0.61098,                0.46275,                0.44347,                0.20205,                 1.9915,                  1.294,                0.92272,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.5195,                 1.0221,                0.84894,                0.61078,                0.45098,                0.43976,                 0.2017,                 1.9791,                 1.2922,                0.92306,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.5841,                 1.0377,                0.88425,                0.61331,                0.44783,                0.43822,                0.20038,                 1.9722,                 1.2956,                0.92339,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.6604,                 1.1037,                0.85092,                  0.612,                0.43917,                0.43343,                0.19723,                 1.9659,                 1.2904,                0.92621,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.4984,                 1.0038,                 0.8564,                0.60988,                0.43529,                0.43338,                0.19279,                 1.9686,                 1.2942,                0.92701,               0.000119,               0.000119,               0.000119
                     97,                  1.537,                 1.0224,                 0.8687,                0.62579,                0.44314,                0.43875,                0.19279,                 1.9629,                 1.2925,                 0.9272,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.5333,                 1.0364,                0.85092,                0.62507,                0.44458,                0.44373,                 0.1984,                 1.9527,                 1.2881,                0.92675,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.5165,                0.96903,                 0.8735,                0.61372,                0.44314,                0.43912,                0.19996,                 1.9283,                 1.2818,                0.92317,               5.96e-05,               5.96e-05,               5.96e-05
